index,temp_key,chem_key,country_key,iso_code,population,gdp,co2 without land_use,co2
1041,301041,201041,105,DZA,6628718.0,,0.099,5.448
1042,301042,201042,105,DZA,6737455.0,,0.113,5.5360000000000005
1043,301043,201043,105,DZA,6856617.0,,0.121,5.617000000000001
1044,301044,201044,105,DZA,6977885.0,,0.139,5.672000000000001
1045,301045,201045,105,DZA,7101299.0,,0.132,5.7379999999999995
1046,301046,201046,105,DZA,7226895.0,,0.051,5.694
1047,301047,201047,105,DZA,7354713.0,,0.069,5.748
1048,301048,201048,105,DZA,7484792.0,,0.033,5.7490000000000006
1049,301049,201049,105,DZA,7613042.0,,0.161,5.912999999999999
1050,301050,201050,105,DZA,7739370.0,,0.238,6.247
1051,301051,201051,105,DZA,7863680.0,,0.311,6.467
1052,301052,201052,105,DZA,7985870.0,,0.498,6.763
1053,301053,201053,105,DZA,8105839.0,,0.469,6.808000000000001
1054,301054,201054,105,DZA,8227611.0,,0.498,6.91
1055,301055,201055,105,DZA,8351211.0,,0.615,7.064
1056,301056,201056,105,DZA,8476669.0,,0.762,7.284000000000001
1057,301057,201057,105,DZA,8604011.0,,0.743,7.3020000000000005
1058,301058,201058,105,DZA,8733267.0,,0.802,7.397
1059,301059,201059,105,DZA,8871792.0,,0.908,7.54
1060,301060,201060,105,DZA,9019866.0,19350554624.0,3.784,16.387999999999998
1061,301061,201061,105,DZA,9271741.0,19480383488.0,4.131,20.509
1062,301062,201062,105,DZA,9521703.0,20349999104.0,3.889,23.235
1063,301063,201063,105,DZA,9771686.0,20798191616.0,3.999,25.872999999999998
1064,301064,201064,105,DZA,10011548.0,22019014656.0,4.152,28.737000000000002
1065,301065,201065,105,DZA,10242297.0,22665783296.0,4.607,31.939999999999998
1066,301066,201066,105,DZA,10473167.0,24891404288.0,4.995,34.93
1067,301067,201067,105,DZA,10703259.0,27721039872.0,5.537,38.513
1068,301068,201068,105,DZA,10933788.0,28728694784.0,5.214,41.048
1069,301069,201069,105,DZA,11164451.0,33993146368.0,5.657,44.422
1070,301070,201070,105,DZA,11394309.0,36306128896.0,6.151,48.031000000000006
1071,301071,201071,105,DZA,11598615.0,31896877056.0,6.056,28.187
1072,301072,201072,105,DZA,11778265.0,25126164480.0,5.661,18.558
1073,301073,201073,105,DZA,11969449.0,31766970368.0,5.419,13.37
1074,301074,201074,105,DZA,12179097.0,33433417728.0,5.643,13.337
1075,301075,201075,105,DZA,12381262.0,35661975552.0,6.589,12.122
1076,301076,201076,105,DZA,12613398.0,33932634112.0,8.421,17.618
1077,301077,201077,105,DZA,12897121.0,37094768640.0,8.432,12.939
1078,301078,201078,105,DZA,13190979.0,41423888384.0,9.05,12.677
1079,301079,201079,105,DZA,13491022.0,45387460608.0,11.263,15.219999999999999
1080,301080,201080,105,DZA,13795915.0,49945669632.0,15.059,28.616
1081,301081,201081,105,DZA,14110269.0,45701218304.0,18.65,34.735
1082,301082,201082,105,DZA,14439750.0,55293906944.0,28.323,39.315
1083,301083,201083,105,DZA,14786473.0,57097850880.0,38.277,47.327
1084,301084,201084,105,DZA,15153601.0,60577882112.0,31.877,58.294
1085,301085,201085,105,DZA,15724698.0,64883814400.0,32.001,61.93599999999999
1086,301086,201086,105,DZA,16500516.0,69150105600.0,39.131,52.541
1087,301087,201087,105,DZA,17134196.0,75438030848.0,41.845,49.906
1088,301088,201088,105,DZA,17632646.0,85103919104.0,62.455,66.669
1089,301089,201089,105,DZA,18166982.0,92753895424.0,45.546,49.027
1090,301090,201090,105,DZA,18739378.0,94481653760.0,66.416,68.944
1091,301091,201091,105,DZA,19351356.0,96860520448.0,46.342,48.797
1092,301092,201092,105,DZA,20000098.0,103073660928.0,39.173,35.692
1093,301093,201093,105,DZA,20682110.0,108430385152.0,52.504,66.207
1094,301094,201094,105,DZA,21393532.0,114406670336.0,70.947,77.506
1095,301095,201095,105,DZA,22132910.0,120364212224.0,72.609,77.482
1096,301096,201096,105,DZA,22882560.0,119145037824.0,76.08,84.251
1097,301097,201097,105,DZA,23586098.0,118321217536.0,83.883,89.63499999999999
1098,301098,201098,105,DZA,24243024.0,115821715456.0,83.708,89.314
1099,301099,201099,105,DZA,24889516.0,119762436096.0,79.808,82.703
1100,301100,201100,105,DZA,25518074.0,117843181568.0,76.738,88.793
1101,301101,201101,105,DZA,26133906.0,121105154048.0,78.807,106.14
1102,301102,201102,105,DZA,26748302.0,127982673920.0,79.883,93.18299999999999
1103,301103,201103,105,DZA,27354326.0,130275762176.0,81.944,91.837
1104,301104,201104,105,DZA,27937006.0,134279872512.0,86.147,93.58500000000001
1105,301105,201105,105,DZA,28478024.0,145054695424.0,94.981,106.413
1106,301106,201106,105,DZA,28984640.0,156579102720.0,96.786,104.993
1107,301107,201107,105,DZA,29476030.0,164644454400.0,87.005,93.673
1108,301108,201108,105,DZA,29924664.0,179962871808.0,106.621,111.824
1109,301109,201109,105,DZA,30346086.0,193179811840.0,91.668,94.85600000000001
1110,301110,201110,105,DZA,30774624.0,208554147840.0,82.221,87.277
1111,301111,201111,105,DZA,31200984.0,223420301312.0,83.78,89.386
1112,301112,201112,105,DZA,31624700.0,245360885760.0,89.407,96.075
1113,301113,201113,105,DZA,32055882.0,273568645120.0,91.048,99.145
1114,301114,201114,105,DZA,32510184.0,296773615616.0,87.853,94.04499999999999
1115,301115,201115,105,DZA,32956690.0,326854475776.0,106.473,111.676
1116,301116,201116,105,DZA,33435082.0,345705349120.0,100.203,104.636
1117,301117,201117,105,DZA,33983836.0,371665207296.0,108.402,112.249
1118,301118,201118,105,DZA,34569592.0,395658559488.0,109.032,113.282
1119,301119,201119,105,DZA,35196040.0,418247671808.0,120.185,124.325
1120,301120,201120,105,DZA,35856348.0,450705883136.0,117.813,121.221
1121,301121,201121,105,DZA,36543548.0,482034778112.0,119.808,122.629
1122,301122,201122,105,DZA,37260568.0,497923358720.0,135.674,138.459
