country,iso_code,population,gdp,co2 without land_use,co2
India,IND,515621319.6395349,1259100105308.0864,373.23781045751633,633.4593511551907
Indonesia,IDN,93485100.02906977,393481836360.69135,112.28466917293234,581.591070335723
Iran,IRN,26457033.151162792,462497153103.3239,174.5230892857143,187.05439742524916
Iraq,IRQ,9391870.90116279,122437971569.57747,50.284684210526315,54.59092258261934
Ireland,IRL,4104773.1395348837,68228702095.36,20.390531531531533,18.499095485019904
Isle of Man,IMN,66521.31944444444,,,
Israel,ISR,2184734.4593023257,98118499869.68115,26.397956521739133,26.726415824064713
Italy,ITA,42797570.20930233,586752287010.8402,154.72327160493828,153.41162625610107
Jamaica,JAM,1378738.7267441861,11242847869.234568,6.3873194444444445,8.448127583979328
Japan,JPN,76415077.80232558,1455976621018.6277,433.1888441558441,463.43152438840224
Jersey,JEY,79548.34722222222,,,
Jordan,JOR,1745039.9011627906,27692159747.605633,10.089194444444445,10.441944444444445
Kazakhstan,KAZ,8200161.613636363,235430510796.8,83.64567058823529,108.62904849521203
Kenya,KEN,12040352.470930232,46875371423.53623,6.821736111111111,26.401323320413436
Kiribati,KIR,48273.32748538012,,0.03552459016393442,
Kuwait,KWT,770511.8197674418,73172471451.82608,45.89976315789474,45.89825734394125
Kyrgyzstan,KGZ,2294173.375,20524102425.6,4.991758823529412,7.173316963064296
Laos,LAO,2317313.976744186,10055416941.449276,2.609089552238806,21.943310482471365
Latvia,LVA,1954346.4147727273,35137294950.4,5.649982352941176,10.38978467852257
Lebanon,LBN,1842608.6860465116,29925489071.774647,8.401344444444444,8.586658397932815
Lesotho,LSO,795049.9244186047,2548928308.405797,2.0682187499999998,3.091619912790698
Liberia,LBR,1308976.9709302327,4382073926.492754,0.7470694444444445,12.270953165374676
Libya,LBY,1878349.8779069767,37952727712.46377,30.86115277777778,31.536914405684755
Liechtenstein,LIE,17277.964912280702,,0.1958125,
Lithuania,LTU,2567881.4204545454,50617338777.6,9.2696,18.038094186046514
Luxembourg,LUX,310143.93023255817,14223693145.043478,9.89548051948052,9.887096798550287
Macao,MAC,336145.7974683544,,0.8509558823529412,
Madagascar,MDG,6903438.534883721,16446393165.913044,1.2813544303797468,52.39564512805416
Malawi,MWI,4951384.25,8024187822.376812,0.7236944444444444,10.186857235142119
Malaysia,MYS,8675993.28488372,122453456893.7931,48.10297709923664,121.2520003550506
Maldives,MDV,131332.54385964913,,0.5383333333333333,
Mali,MLI,5603918.75,10118565209.043478,1.083063492063492,10.6454588409007
Malta,MLT,274739.70930232556,4763751198.144928,1.4664722222222222,1.4359838501291988
Marshall Islands,MHL,36237.82456140351,,0.11926666666666666,
Martinique,MTQ,303941.3695652174,,0.33265808823529414,0.4243092510259918
Mauritania,MRT,910905.524229075,4098433716.869565,0.29691544117647056,0.6076131155950752
